,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
0,CHEMBL151539,CCCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1,0.4,active
1,CHEMBL443759,O=C(CN(Cc1ccccc1)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1)NO,300.0,active
2,CHEMBL95560,CCCCN(CC(=O)NO)C(=O)CN(CCc1ccc(F)cc1)C(=O)Nc1ccc(Oc2ccccc2)cc1,51000.0,inactive
3,CHEMBL321088,CCCCCCCN(CC(=O)NO)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1,150000.0,inactive
4,CHEMBL151718,COc1ccc(S(=O)(=O)N2C/C(=N\OC(C)(C)C)C[C@@H]2C(=O)NO)cc1,0.7,active
5,CHEMBL357728,CC(C)(C)O/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)C1,0.4,active
6,CHEMBL348210,COc1ccc(S(=O)(=O)N2CC(NOC(C)(C)C)C[C@@H]2C(=O)NO)cc1,4.0,active
7,CHEMBL420447,CCCCN(CC(=O)N(CC(=O)NO)C(C)CC)C(=O)Nc1ccc(Oc2ccccc2)cc1,54000.0,inactive
8,CHEMBL346624,CCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1,0.3,active
9,CHEMBL316884,O=C(CN(CCCCc1ccccc1)C(=O)CN(CCCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1)NO,52000.0,inactive
10,CHEMBL151591,CONC1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)C1,5.0,active
11,CHEMBL98186,CCCC(C)N(CC(=O)NO)C(=O)CN(C(=O)Nc1ccc2ccccc2c1)C1CCCc2ccccc21,120000.0,inactive
12,CHEMBL94268,CCCCCN(CC(=O)NO)C(=O)CN(C(=O)Nc1ccc(Oc2ccccc2)cc1)C(C)CCC,160000.0,inactive
13,CHEMBL262693,O=C(CN(C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1)C1CCCc2ccccc21)NO,500000.0,inactive
14,CHEMBL94887,CCCC(C)N(CC(=O)NO)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1,23000.0,inactive
15,CHEMBL150655,COc1ccc(S(=O)(=O)N2C/C(=N\O)C[C@@H]2C(=O)NO)cc1,0.2,active
16,CHEMBL150483,CO/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)C1,0.3,active
17,CHEMBL95143,CC(C)N(CC(=O)NO)C(=O)CN(CCc1ccc(F)cc1)C(=O)Nc1ccc(Oc2ccccc2)cc1,90000.0,inactive
18,CHEMBL440355,CCCCOc1ccc(S(=O)(=O)N2C/C(=N\OCC)C[C@@H]2C(=O)NO)cc1,0.4,active
19,CHEMBL418779,O=C(CN(Cc1ccccc1)C(=O)CN(CC1CCCCC1)C(=O)Nc1ccc(Oc2ccccc2)cc1)NO,125000.0,inactive
20,CHEMBL97454,O=C(CN(C(=O)CN(C(=O)Nc1ccc(Oc2ccccc2)cc1)C(c1ccccc1)c1ccccc1)C(c1ccccc1)c1ccccc1)NO,50000.0,inactive
