,molecule_chembl_id,canonical_smiles,bioactivity_class,MolWt,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL151539,CCCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1,active,371.415,0.7462000000000003,2.0,7.0,9.397940008672037
1,CHEMBL443759,O=C(CN(Cc1ccccc1)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1)NO,active,566.6580000000002,5.4798000000000044,3.0,5.0,6.522878745280337
2,CHEMBL95560,CCCCN(CC(=O)NO)C(=O)CN(CCc1ccc(F)cc1)C(=O)Nc1ccc(Oc2ccccc2)cc1,inactive,536.6040000000002,4.828700000000003,3.0,5.0,4.292429823902063
3,CHEMBL321088,CCCCCCCN(CC(=O)NO)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1,inactive,574.7220000000003,6.250000000000005,3.0,5.0,3.8239087409443187
4,CHEMBL151718,COc1ccc(S(=O)(=O)N2C/C(=N\OC(C)(C)C)C[C@@H]2C(=O)NO)cc1,active,385.44200000000006,1.1346999999999996,2.0,7.0,9.154901959985743
5,CHEMBL357728,CC(C)(C)O/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)C1,active,448.5010000000002,2.3134000000000006,2.0,8.0,9.397940008672037
6,CHEMBL348210,COc1ccc(S(=O)(=O)N2CC(NOC(C)(C)C)C[C@@H]2C(=O)NO)cc1,active,387.45800000000014,0.6519000000000003,3.0,7.0,8.397940008672037
7,CHEMBL420447,CCCCN(CC(=O)N(CC(=O)NO)C(C)CC)C(=O)Nc1ccc(Oc2ccccc2)cc1,inactive,470.57000000000016,4.245400000000003,3.0,5.0,4.267606240177032
8,CHEMBL346624,CCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1,active,357.38800000000003,0.35610000000000064,2.0,7.0,9.522878745280337
9,CHEMBL316884,O=C(CN(CCCCc1ccccc1)C(=O)CN(CCCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1)NO,inactive,622.7660000000005,6.692600000000007,3.0,5.0,4.2839966563652006
10,CHEMBL151591,CONC1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)C1,active,345.3770000000001,-0.5167999999999984,3.0,7.0,8.301029995663981
11,CHEMBL98186,CCCC(C)N(CC(=O)NO)C(=O)CN(C(=O)Nc1ccc2ccccc2c1)C1CCCc2ccccc21,inactive,516.6420000000003,5.273900000000005,3.0,4.0,3.9208187539523753
12,CHEMBL94268,CCCCCN(CC(=O)NO)C(=O)CN(C(=O)Nc1ccc(Oc2ccccc2)cc1)C(C)CCC,inactive,498.62400000000025,5.025600000000005,3.0,5.0,3.795880017344075
13,CHEMBL262693,O=C(CN(C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1)C1CCCc2ccccc21)NO,inactive,606.7230000000004,6.357200000000007,3.0,5.0,3.3010299956639813
